*要約結果:*
本日のデータサイエンス系障がい者求人はこちらです：

1. 🏢 ピアス株式会社
    📍 勤務地: 大阪府大阪市北区（梅田本社オフィス）
    💼 職種: データサイエンティスト
    💰 給与: 年収480万円～780万円（経験等考慮の上決定）
    ⏰ 勤務形態: 契約社員（正社員登用制度あり）
    🔍 特徴: 通販に関する各種分析ツールを利用し、社内外のデータを分析、課題発見、提言・提案を行います。Web上データやビッグデータの分析経験、BIツールの使用経験が求められます。

2. 🏢 株式会社ブレインパッド
    📍 勤務地: 東京都港区（六本木一丁目駅直結）
    💼 職種: データサイエンティスト（ジュニアレベル）
    💰 給与: 年収500万円～700万円
    ⏰ 勤務形態: 正社員
    🔍 特徴: リテール、メーカー、金融など多様な業界でデータ分析およびコンサルティング、大規模データ解析、数理モデリング等を行います。年間休日127日、スキルアップ支援制度、メンター制度など福利厚生が充実しています。

3. 🏢 情報なし
    📍 勤務地: 情報なし
    💼 職種: 情報なし
    💰 給与: 情報なし
    ⏰ 勤務形態: 情報なし
    🔍 特徴: 情報なし

4. 🏢 情報なし
    📍 勤務地: 情報なし
    💼 職種: 情報なし
    💰 給与: 情報なし
    ⏰ 勤務形態: 情報なし
    🔍 特徴: 情報なし

5. 🏢 情報なし
    📍 勤務地: 情報なし
    💼 職種: 情報なし
    💰 給与: 情報なし
    ⏰ 勤務形態: 情報なし
    🔍 特徴: 情報なし

※これは本日のウェブサイト情報を Gemini が検索してまとめたものであり、内容の正確性を保証するものではありません。
